Genes	Modules
ENSMUSG00000027282	grey
ENSMUSG00000027342	grey
ENSMUSG00000027404	grey
ENSMUSG00000027405	grey
ENSMUSG00000027422	grey
ENSMUSG00000027423	grey
ENSMUSG00000027544	grey
ENSMUSG00000027593	grey
ENSMUSG00000027712	grey
ENSMUSG00000027800	grey
ENSMUSG00000027881	grey
ENSMUSG00000028078	grey
ENSMUSG00000028127	grey
ENSMUSG00000028248	grey
ENSMUSG00000028249	grey
ENSMUSG00000028333	grey
ENSMUSG00000028494	grey
ENSMUSG00000028672	grey
ENSMUSG00000028673	grey
ENSMUSG00000028691	grey
ENSMUSG00000028692	grey
ENSMUSG00000028693	grey
ENSMUSG00000028745	grey
ENSMUSG00000028792	grey
ENSMUSG00000028800	grey
ENSMUSG00000028832	grey
ENSMUSG00000028868	grey
ENSMUSG00000028879	grey
ENSMUSG00000028961	grey
ENSMUSG00000028972	grey
ENSMUSG00000029017	grey
ENSMUSG00000029048	grey
ENSMUSG00000029064	grey
ENSMUSG00000029090	grey
ENSMUSG00000029221	grey
ENSMUSG00000029250	grey
ENSMUSG00000029311	grey
ENSMUSG00000029430	grey
ENSMUSG00000029455	grey
ENSMUSG00000029467	grey
ENSMUSG00000029482	grey
ENSMUSG00000029552	grey
ENSMUSG00000029580	grey
ENSMUSG00000029581	grey
ENSMUSG00000029632	grey
ENSMUSG00000029657	grey
ENSMUSG00000029661	grey
ENSMUSG00000029763	grey
ENSMUSG00000029776	grey
ENSMUSG00000029781	grey
ENSMUSG00000029817	grey
ENSMUSG00000029910	grey
ENSMUSG00000030042	grey
ENSMUSG00000030062	grey
ENSMUSG00000030074	grey
ENSMUSG00000030104	grey
ENSMUSG00000030122	grey
ENSMUSG00000030127	grey
ENSMUSG00000030189	grey
ENSMUSG00000030220	grey
ENSMUSG00000030246	grey
ENSMUSG00000030256	grey
ENSMUSG00000030282	grey
ENSMUSG00000030357	grey
ENSMUSG00000030522	grey
ENSMUSG00000030559	grey
ENSMUSG00000030591	grey
ENSMUSG00000030663	grey
ENSMUSG00000030678	grey
ENSMUSG00000030772	grey
ENSMUSG00000031299	grey
ENSMUSG00000031349	grey
ENSMUSG00000031353	grey
ENSMUSG00000031502	grey
ENSMUSG00000031604	grey
ENSMUSG00000031633	grey
ENSMUSG00000031708	grey
ENSMUSG00000031729	grey
ENSMUSG00000031776	grey
ENSMUSG00000031799	grey
ENSMUSG00000031827	grey
ENSMUSG00000031835	grey
ENSMUSG00000031948	grey
ENSMUSG00000032046	grey
ENSMUSG00000032047	grey
ENSMUSG00000032050	grey
ENSMUSG00000032135	grey
ENSMUSG00000032202	grey
ENSMUSG00000032228	grey
ENSMUSG00000032244	grey
ENSMUSG00000032279	grey
ENSMUSG00000032328	grey
ENSMUSG00000032366	grey
ENSMUSG00000032532	grey
ENSMUSG00000032966	grey
ENSMUSG00000033006	grey
ENSMUSG00000033047	grey
ENSMUSG00000033105	grey
ENSMUSG00000033685	grey
ENSMUSG00000033880	grey
ENSMUSG00000034220	grey
ENSMUSG00000034341	grey
ENSMUSG00000034613	grey
ENSMUSG00000034842	grey
ENSMUSG00000035027	grey
ENSMUSG00000035202	grey
ENSMUSG00000035227	grey
ENSMUSG00000035273	grey
ENSMUSG00000035891	grey
ENSMUSG00000036112	grey
ENSMUSG00000036241	grey
ENSMUSG00000036323	grey
ENSMUSG00000036371	grey
ENSMUSG00000036698	grey
ENSMUSG00000036752	grey
ENSMUSG00000036894	grey
ENSMUSG00000036940	grey
ENSMUSG00000037049	grey
ENSMUSG00000037071	grey
ENSMUSG00000037072	grey
ENSMUSG00000037174	grey
ENSMUSG00000037260	grey
ENSMUSG00000037331	grey
ENSMUSG00000037373	grey
ENSMUSG00000037894	grey
ENSMUSG00000038034	grey
ENSMUSG00000038095	grey
ENSMUSG00000038375	grey
ENSMUSG00000038650	grey
ENSMUSG00000038695	grey
ENSMUSG00000038733	grey
ENSMUSG00000038740	grey
ENSMUSG00000038965	grey
ENSMUSG00000039067	grey
ENSMUSG00000039105	grey
ENSMUSG00000039159	grey
ENSMUSG00000039347	grey
ENSMUSG00000039410	grey
ENSMUSG00000039515	grey
ENSMUSG00000039671	grey
ENSMUSG00000039703	grey
ENSMUSG00000039953	grey
ENSMUSG00000040204	grey
ENSMUSG00000040385	grey
ENSMUSG00000040415	grey
ENSMUSG00000040616	grey
ENSMUSG00000040681	grey
ENSMUSG00000040731	grey
